speciesname,lon,lat
Microgobius gulosus,-80.8297222,28.7038889
Microgobius gulosus,-81.3777778,25.8625
Microgobius gulosus,-85.1425,29.6375
Microgobius gulosus,-82.65325,27.7378333
Microgobius gulosus,-81.592243,29.565554
Microgobius gulosus,-81.0580556,28.7925
Microgobius gulosus,-80.9088889,28.6475
Microgobius gulosus,-81.6755556,29.4533333
Microgobius gulosus,-81.6638889,29.475
Microgobius gulosus,-81.6236111,29.6480556
Microgobius gulosus,-81.2605556,28.8172222
Microgobius gulosus,-81.737176,30.133842
Microgobius gulosus,-81.4291667,29.1080556
Microgobius gulosus,-81.2183333,28.7225
Microgobius gulosus,-81.3530556,29.0019444
Microgobius gulosus,-81.7022222,30.1488889
Microgobius gulosus,-81.6805556,29.3247222
Microgobius gulosus,-81.0811111,28.7447222
Microgobius gulosus,-81.6644444,29.4305556
Microgobius gulosus,-81.6644444,29.4305556
Microgobius gulosus,-82.265601,26.830025
Microgobius gulosus,-82.266373,26.830523
Microgobius gulosus,-80.7883333,28.6255556
Microgobius gulosus,-80.106562,26.952392
Microgobius gulosus,-81.7161111,30.2741667
Microgobius gulosus,-82.29135,26.84372
Microgobius gulosus,-89.65611,30.19778
Microgobius gulosus,-89.95611,30.26139
Microgobius gulosus,-85.26472,29.685
Microgobius gulosus,-89.94167,30.07333
Microgobius gulosus,-80.34084,27.50472
Microgobius gulosus,-89.425,30.32972
Microgobius gulosus,-89.425,30.32972
Microgobius gulosus,-89.43528,30.39222
Microgobius gulosus,-81.5816667,30.4122222
Microgobius gulosus,-81.5816667,30.4122222
Microgobius gulosus,-81.6566667,29.7011111
Microgobius gulosus,-81.5713889,29.7063889
Microgobius gulosus,-81.585,29.7133333
Microgobius gulosus,-82.4358333,27.1
Microgobius gulosus,-82.7383333,28.9983333
Microgobius gulosus,-81.3230556,28.8361111
Microgobius gulosus,-81.2502778,28.8147222
Microgobius gulosus,-81.2475,28.7863889
Microgobius gulosus,-81.2475,28.7863889
Microgobius gulosus,-80.5466667,27.9655556
Microgobius gulosus,-80.6536111,25.2208333
Microgobius gulosus,-84.584269,29.809749
Microgobius gulosus,-84.6713889,29.8638889
Microgobius gulosus,-84.6713889,29.8638889
Microgobius gulosus,-84.370127,29.897767
Microgobius gulosus,-82.771435,29.000153
Microgobius gulosus,-82.7383333,28.9983333
Microgobius gulosus,-82.3875,27.8536111
Microgobius gulosus,-80.580237,28.040515
Microgobius gulosus,-80.6077778,28.1711111
Microgobius gulosus,-83.067578,29.095911
Microgobius gulosus,-80.6077778,28.1711111
Microgobius gulosus,-84.150124,30.110385
Microgobius gulosus,-84.40206,29.910464
Microgobius gulosus,-84.150124,30.110385
Microgobius gulosus,-84.4461111,29.9283333
Microgobius gulosus,-84.421373,29.914481
Microgobius gulosus,-81.3702778,25.9136111
Microgobius gulosus,-81.396287,25.848073
Microgobius gulosus,-84.213208,30.153401
Microgobius gulosus,-84.2436111,30.175
Microgobius gulosus,-81.6461111,29.3411111
Microgobius gulosus,-85.5716667,30.3202778
Microgobius gulosus,-81.606135,29.355409
Microgobius gulosus,-81.606135,29.355409
Microgobius gulosus,-81.606135,29.355409
Microgobius gulosus,-82.0211111,26.8852778
Microgobius gulosus,-87.1916667,30.5486111
Microgobius gulosus,-81.6608333,30.0808333
Microgobius gulosus,-84.370127,29.897767
Microgobius gulosus,-84.370127,29.897767
Microgobius gulosus,-81.606135,29.355409
Microgobius gulosus,-81.606135,29.355409
Microgobius gulosus,-81.5925,29.2858333
Microgobius gulosus,-81.5925,29.2858333
Microgobius gulosus,-87.1758333,30.5811111
Microgobius gulosus,-81.6805556,29.3247222
Microgobius gulosus,-81.5925,29.2858333
Microgobius gulosus,-81.631827,29.356031
Microgobius gulosus,-81.5444444,29.2719444
Microgobius gulosus,-84.370127,29.897767
Microgobius gulosus,-84.341863,29.947463
Microgobius gulosus,-81.5444444,29.2719444
Microgobius gulosus,-84.67973,29.86555
Microgobius gulosus,-85.645621,30.254267
Microgobius gulosus,-85.733064,30.218267
Microgobius gulosus,-84.940826,29.733093
Microgobius gulosus,-84.370127,29.897767
Microgobius gulosus,-84.370127,29.897767
Microgobius gulosus,-84.515313,29.915747
Microgobius gulosus,-84.204961,30.055797
Microgobius gulosus,-80.63574,28.408626
Microgobius gulosus,-84.175568,30.097309
Microgobius gulosus,-84.1544444,30.12
Microgobius gulosus,-84.1544444,30.12
Microgobius gulosus,-84.175724,30.079192
Microgobius gulosus,-84.171133,30.085651
Microgobius gulosus,-84.1483333,30.1230556
Microgobius gulosus,-84.370127,29.897767
Microgobius gulosus,-84.233762,30.088929
Microgobius gulosus,-84.91435,29.756537
Microgobius gulosus,-81.70831,25.944535
Microgobius gulosus,-84.370127,29.897767
Microgobius gulosus,-84.1677778,30.0827778
Microgobius gulosus,-84.155793,30.078259
Microgobius gulosus,-80.0988889,26.9452778
Microgobius gulosus,-80.106562,26.952392
Microgobius gulosus,-80.122277,26.936563
Microgobius gulosus,-84.512131,29.916274
Microgobius gulosus,-84.298603,30.057869
Microgobius gulosus,-86.522609,30.423606
Microgobius gulosus,-87.101406,30.446434
Microgobius gulosus,-84.444629,29.981349
Microgobius gulosus,-84.457965,29.975305
Microgobius gulosus,-84.513841,29.987349
Microgobius gulosus,-87.421894,30.302815
Microgobius gulosus,-83.63444,29.88167
Microgobius gulosus,-87.1375,30.347847
Microgobius gulosus,-84.67973,29.86555
Microgobius gulosus,-84.67973,29.86555
Microgobius gulosus,-87.167884,30.335108
Microgobius gulosus,-87.548339,30.276928
Microgobius gulosus,-84.674083,29.851667
Microgobius gulosus,-84.826606,29.903081
Microgobius gulosus,-83.6214167,29.8913611
Microgobius gulosus,-85.619279,30.125152
Microgobius gulosus,-82.464591,28.018695
Microgobius gulosus,-82.468812,27.99779
Microgobius gulosus,-82.369912,27.95317
Microgobius gulosus,-82.384389,27.947562
Microgobius gulosus,-82.473973,27.983647
Microgobius gulosus,-82.384389,27.947562
Microgobius gulosus,-82.409924,27.942264
Microgobius gulosus,-82.40611,27.94528
Microgobius gulosus,-82.369912,27.95317
Microgobius gulosus,-82.38646,27.948325
Microgobius gulosus,-82.473113,27.983647
Microgobius gulosus,-82.464833,28.011769
Microgobius gulosus,-82.369912,27.95317
Microgobius gulosus,-82.384389,27.947562
Microgobius gulosus,-82.468684,27.998017
Microgobius gulosus,-82.473673,27.982982
Microgobius gulosus,-82.47728,27.968409
Microgobius gulosus,-82.369912,27.95317
Microgobius gulosus,-82.384389,27.947562
Microgobius gulosus,-82.40611,27.94528
Microgobius gulosus,-82.464833,28.011769
Microgobius gulosus,-82.384389,27.947562
Microgobius gulosus,-82.405799,27.943807
Microgobius gulosus,-82.420011,27.925447
Microgobius gulosus,-82.369912,27.95317
Microgobius gulosus,-82.384389,27.947562
Microgobius gulosus,-82.40611,27.94528
Microgobius gulosus,-84.370127,29.897767
Microgobius gulosus,-87.2227778,30.5708333
Microgobius gulosus,-86.4166667,30.5066667
Microgobius gulosus,-83.068093,29.095536
Microgobius gulosus,-80.3341667,27.3277778
Microgobius gulosus,-81.714417,30.152673
Microgobius gulosus,-81.6466667,29.9822222
Microgobius gulosus,-81.6494444,30.0272222
Microgobius gulosus,-81.6338889,30.1333333
Microgobius gulosus,-81.714417,30.152673
Microgobius gulosus,-81.714417,30.152673
Microgobius gulosus,-81.6338889,30.1333333
Microgobius gulosus,-81.6338889,30.1333333
Microgobius gulosus,-81.6466667,29.9822222
Microgobius gulosus,-81.6466667,29.9822222
Microgobius gulosus,-81.714417,30.152673
Microgobius gulosus,-81.714417,30.152673
Microgobius gulosus,-81.6338889,30.1333333
Microgobius gulosus,-81.6494444,30.0272222
Microgobius gulosus,-81.714417,30.152673
Microgobius gulosus,-81.6494444,30.0272222
Microgobius gulosus,-81.6494444,30.0272222
Microgobius gulosus,-80.4955556,27.7575
Microgobius gulosus,-80.1577778,27.1516667
Microgobius gulosus,-80.5183333,27.8355556
Microgobius gulosus,-81.6338889,30.1333333
Microgobius gulosus,-81.6338889,30.1333333
Microgobius gulosus,-81.6338889,30.1333333
Microgobius gulosus,-81.6494444,30.0272222
Microgobius gulosus,-81.6494444,30.0272222
Microgobius gulosus,-81.6466667,29.9822222
Microgobius gulosus,-81.6466667,29.9822222
Microgobius gulosus,-81.6466667,29.9822222
Microgobius gulosus,-82.038655,26.50197
Microgobius gulosus,-82.038655,26.50197
Microgobius gulosus,-82.038655,26.50197
Microgobius gulosus,-82.038655,26.50197
Microgobius gulosus,-82.384389,27.947562
Microgobius gulosus,-82.038655,26.50197
Microgobius gulosus,-82.405799,27.943807
Microgobius gulosus,-82.038655,26.50197
Microgobius gulosus,-82.038655,26.50197
Microgobius gulosus,-82.038655,26.50197
Microgobius gulosus,-82.038655,26.50197
Microgobius gulosus,-82.038655,26.50197
Microgobius gulosus,-82.038655,26.50197
Microgobius gulosus,-82.038655,26.50197
Microgobius gulosus,-82.420011,27.925447
Microgobius gulosus,-82.47728,27.968409
Microgobius gulosus,-82.369912,27.95317
Microgobius gulosus,-82.384389,27.947562
Microgobius gulosus,-82.405799,27.943807
Microgobius gulosus,-82.384389,27.947562
Microgobius gulosus,-82.405799,27.943807
Microgobius gulosus,-82.369912,27.95317
Microgobius gulosus,-85.986083,30.27325
Microgobius gulosus,-83.03278,29.13445
Microgobius gulosus,-82.420011,27.925447
Microgobius gulosus,-82.369912,27.95317
Microgobius gulosus,-82.405799,27.943807
Microgobius gulosus,-82.464591,28.018695
Microgobius gulosus,-82.384389,27.947562
Microgobius gulosus,-82.1833333,26.6333333
Microgobius gulosus,-82.404925,27.944191
Microgobius gulosus,-82.409124,27.943747
Microgobius gulosus,-82.464591,28.018695
Microgobius gulosus,-82.466061,27.996463
Microgobius gulosus,-82.473673,27.982982
Microgobius gulosus,-82.369912,27.95317
Microgobius gulosus,-82.384389,27.947562
Microgobius gulosus,-82.420011,27.925447
Microgobius gulosus,-82.473673,27.982982
Microgobius gulosus,-80.8778056,26.7511667
Microgobius gulosus,-80.091178,26.933301
Microgobius gulosus,-83.38778,29.67083
Microgobius gulosus,-82.5891667,28.7994167
Microgobius gulosus,-81.6338889,30.1333333
Microgobius gulosus,-81.6494444,30.0272222
Microgobius gulosus,-81.6338889,30.1333333
Microgobius gulosus,-80.524109,27.981909
Microgobius gulosus,-80.330968,27.561213
Microgobius gulosus,-80.354592,27.551818
Microgobius gulosus,-84.233762,30.088929
Microgobius gulosus,-80.4222222,25.12
Microgobius gulosus,-80.65,28.675
Microgobius gulosus,-80.6666667,28.6583333
Microgobius gulosus,-80.5833333,28.4916667
Microgobius gulosus,-80.766786,28.647241
Microgobius gulosus,-80.7333333,28.7083333
Microgobius gulosus,-80.776837,28.635434
Microgobius gulosus,-80.8333333,28.7833333
Microgobius gulosus,-80.7833333,28.6666667
Microgobius gulosus,-80.669306,28.525856
Microgobius gulosus,-80.776837,28.635434
Microgobius gulosus,-80.7077778,28.5263889
Microgobius gulosus,-80.7636111,28.6483333
Microgobius gulosus,-80.775,28.6333333
Microgobius gulosus,-80.66607,28.599376
Microgobius gulosus,-80.7833333,28.6916667
Microgobius gulosus,-80.8,28.65
Microgobius gulosus,-80.7833333,28.6666667
Microgobius gulosus,-80.775,28.5
Microgobius gulosus,-80.7916667,28.625
Microgobius gulosus,-80.7805556,28.6255556
Microgobius gulosus,-80.725,28.7083333
Microgobius gulosus,-80.7333333,28.7083333
Microgobius gulosus,-80.8416667,28.775
Microgobius gulosus,-80.776837,28.635434
Microgobius gulosus,-80.7333333,28.7083333
Microgobius gulosus,-80.6563889,28.595
Microgobius gulosus,-80.6166667,28.4166667
Microgobius gulosus,-80.7636111,28.6483333
Microgobius gulosus,-80.766786,28.647241
Microgobius gulosus,-80.6083333,28.5666667
Microgobius gulosus,-82.7778889,27.8441111
Microgobius gulosus,-82.6477222,27.7447222
Microgobius gulosus,-81.7409722,30.7532222
Microgobius gulosus,-80.72528,28.595
Microgobius gulosus,-84.35944,29.92139
Microgobius gulosus,-80.6416667,28.4083333
Microgobius gulosus,-80.8,28.65
Microgobius gulosus,-80.6083333,28.5333333
Microgobius gulosus,-80.7083333,28.7083333
Microgobius gulosus,-80.7583333,28.7333333
Microgobius gulosus,-80.6083333,28.5416667
Microgobius gulosus,-80.675,28.6666667
Microgobius gulosus,-80.6083333,28.5333333
Microgobius gulosus,-80.6563889,28.595
Microgobius gulosus,-80.6416667,28.4083333
Microgobius gulosus,-80.6563889,28.595
Microgobius gulosus,-80.6416667,28.4083333
Microgobius gulosus,-80.7813889,28.6286111
Microgobius gulosus,-86.146751,30.370589
Microgobius gulosus,-86.146751,30.370589
Microgobius gulosus,-82.451053,27.734527
Microgobius gulosus,-87.078631,30.333317
Microgobius gulosus,-87.141941,30.368047
Microgobius gulosus,-87.15222,30.54111
Microgobius gulosus,-87.07694,30.35083
Microgobius gulosus,-87.132768,30.421083
Microgobius gulosus,-87.22056,30.55083
Microgobius gulosus,-87.078631,30.333317
Microgobius gulosus,-87.078631,30.333317
Microgobius gulosus,-87.21694,30.508211
Microgobius gulosus,-86.84611,30.39361
Microgobius gulosus,-81.384099,26.067631
Microgobius gulosus,-81.211537,25.896135
Microgobius gulosus,-80.9375,25.3125
Microgobius gulosus,-87.17528,30.35389
Microgobius gulosus,-87.16389,30.35694
Microgobius gulosus,-86.57667,30.45361
Microgobius gulosus,-85.14,29.84583
Microgobius gulosus,-83.5607222,29.7791667
Microgobius gulosus,-88.1125,31.90861
Microgobius gulosus,-86.85639,30.38222
Microgobius gulosus,-87.07694,30.35083
Microgobius gulosus,-86.86361,30.40139
Microgobius gulosus,-86.86361,30.40139
Microgobius gulosus,-87.03972,30.54367
Microgobius gulosus,-87.01611,30.53611
Microgobius gulosus,-86.153459,30.430752
Microgobius gulosus,-84.145,30.10028
Microgobius gulosus,-83.06611,29.09694
Microgobius gulosus,-82.71361,28.94861
Microgobius gulosus,-80.3322222,27.3236111
Microgobius gulosus,-81.0666208,29.3283342
Microgobius gulosus,-80.9695557,29.1452991
Microgobius gulosus,-81.0333861,29.2401639
Microgobius gulosus,-81.3462333,29.9958583
Microgobius gulosus,-81.1386632,29.4824304
Microgobius gulosus,-81.2827135,29.8832203
Microgobius gulosus,-81.089532,29.3473097
Microgobius gulosus,-80.9578417,29.1234694
Microgobius gulosus,-81.144286,29.503385
Microgobius gulosus,-81.1733139,29.5593389
Microgobius gulosus,-80.9694278,29.0890833
Microgobius gulosus,-81.0359067,29.2457098
Microgobius gulosus,-81.1508333,29.5158861
Microgobius gulosus,-81.2797028,29.8815639
Microgobius gulosus,-80.9892111,29.1502528
Microgobius gulosus,-81.1154,29.4426167
Microgobius gulosus,-81.0153167,29.2246333
Microgobius gulosus,-81.0155333,29.2255
Microgobius gulosus,-81.113,29.4369306
Microgobius gulosus,-81.2047,29.6125167
Microgobius gulosus,-81.281875,29.8088725
Microgobius gulosus,-81.1379667,29.4829833
Microgobius gulosus,-81.1399342,29.4891453
Microgobius gulosus,-81.1608833,29.5456333
Microgobius gulosus,-81.0581833,29.29305
Microgobius gulosus,-81.0965321,29.4011247
Microgobius gulosus,-81.1358001,29.4734833
